avg_seven_day_return,bid,avg_three_day_return,buy_amount,option_type,days_to_expiry,company_name,time_spent_below_zero_in_hours,time_to_first_minus_fifty,industry_type,tier,tags,alert_time,time_to_first_minus_fifty_timestamp,time_to_first_minus_fourty,ticker_symbol,time_to_first_plus_twenty,high_return,time_spent_above_fifty_in_hours,expires_at,time_to_first_plus_twenty_timestamp,time_to_first_minus_ten,amount_of_time_below_zero_percent,avg_one_day_return,strike_price,delta,time_to_first_minus_twenty,itm_time,amount_of_time_above_itm_percent,implied_volatility,time_to_first_plus_fourty,time_to_first_minus_twenty_timestamp,time_to_first_plus_thirty,rho,avg_return,current_return,gamma,high_date_time,time_to_first_minus_fourty_timestamp,low_date_time,time_to_first_plus_fourty_timestamp,time_to_first_plus_hundred_timestamp,amount_of_time_above_ten_percent,amount_of_time_above_hundred_percent,time_to_first_plus_hundred,time_to_first_minus_ten_timestamp,time_to_first_minus_thirty_timestamp,ever_itm,high_diff_time,avg_twentyone_day_return,theo,time_to_first_plus_ten,amount_of_time_above_fifty_percent,theta,time_to_first_plus_fifty,time_spent_above_thirty_in_hours,vega,low_diff_time,avg_fourteen_day_return,time_to_first_minus_thirty,underlying_purchase_price,amount_of_time_above_zero_percent,time_spent_above_hundred_in_hours,low,volume,avg_ask,high,time_to_first_plus_thirty_timestamp,option_symbol,ask,amount_of_time_above_thirty_percent,id,sector,emojis,low_return,time_to_first_plus_fifty_timestamp,open_interest,time_to_first_plus_ten_timestamp,diff
72.7144566,1.5,59.57373904,174192,call,202,Bank Of America Corp.,4583.783333,,Commercial Banking,free,-,2021-01-05 16:32:24Z,,,BAC,22.21972222,143.4210526,46636.50556,2021-08-20,2021-01-06 14:45:35Z,,1.781737194,47.21362229,34,0.3418,,2021-01-14 16:21:14Z,3.786191537,0.3201,22.21972222,,22.21972222,5.4344,56.77089439,-3.289473684,0.0482,2021-01-29 21:01:24Z,,2021-01-15 14:45:30Z,2021-01-06 14:45:35Z,2021-01-07 14:45:19Z,86.19153675,11.80400891,46.21527778,,,TRUE,238.2183333,64.99587742,1.52,0.216388889,57.23830735,-0.0058,22.21972222,57442.50361,0.0864,580.4833333,81.74022118,,29.99,98.21826281,10367.955,1.47,1146,2.382917595,3.7,2021-01-06 14:45:35Z,BAC210820C00034000,1.54,63.47438753,622e5357-2709-4d59-a283-e13ffdcf8ec6,Finance,???,-3.289473684,2021-01-06 14:45:35Z,326,2021-01-05 16:45:23Z,13.37112371
-56.62531017,0.12,-49.43910256,42120,put,-8,SSgA Active Trust - SSgA Energy Select Sector SPDR,26591.95444,3.121666667,,premium,-,2021-01-05 16:34:39Z,2021-01-05 19:41:57Z,2.621388889,XLE,22.18111111,138.4615385,22.18111111,2021-01-22,2021-01-06 14:45:31Z,0.181111111,98.5915493,-38.01775148,34.5,-0.0728,1.395833333,,0,0.4446,22.18111111,2021-01-05 17:58:24Z,22.18111111,-0.1418,-62.76634164,-84.61538462,0.0362,2021-01-15 16:05:16Z,2021-01-05 19:11:56Z,2021-01-06 14:45:31Z,2021-01-06 14:45:31Z,2021-01-06 14:45:31Z,1.408450704,0.469483568,22.18111111,2021-01-05 16:45:31Z,2021-01-05 18:43:05Z,FALSE,22.18111111,-62.76634164,0.1286,0.181111111,0.469483568,-0.0153,22.18111111,68.635,0.0119,239.5102778,-62.76634164,2.140555556,39.54,1.408450704,22.18111111,0.02,3240,0.048403756,0.31,2021-01-06 14:45:31Z,XLE210122P00034500,0.14,0.938967136,9ffb7946-4759-4217-a4fd-485b7e7342e7,,??,-84.61538462,2021-01-06 14:45:31Z,85,2021-01-05 16:45:31Z,-12.74658574
230.2057815,1.03,174.444885,211536,call,20,BlackRock Institutional Trust Company N.A. - BTC iShares Russell 2000,4.6325,,,premium,-,2021-01-05 16:37:13Z,,,IWM,22.14194444,643.2692308,131780.3111,2021-02-19,2021-01-06 14:45:44Z,,0.22172949,111.3207547,216,0.1301,,2021-01-25 15:48:01Z,0.66518847,0.2429,22.14194444,,22.14194444,3.0194,329.1041276,143.2692308,0.0127,2021-01-05 21:15:10Z,,2021-01-25 15:48:01Z,2021-01-06 14:45:44Z,2021-01-06 16:30:47Z,96.89578714,94.23503326,23.89277778,,,TRUE,479.18,336.9444998,1.0495,0.137777778,95.34368071,-0.0391,22.65888889,131824.8517,0.1456,4.6325,298.024948,,195.44,99.77827051,131664.525,1.04,2034,4.462682927,7.73,2021-01-06 14:45:44Z,IWM210219C00216000,1.05,95.78713969,6c2f66c4-d158-4969-899b-6551c7785885,,????????,0,2021-01-06 15:16:45Z,92,2021-01-05 16:45:29Z,10.51985264
15.63636364,0.21,12,87500,put,48,BlackRock Institutional Trust Company N.A. - BTC iShares J.P. Morgan U,34.36805556,,,free,-,2021-01-05 16:39:28Z,,,EMB,,36,0,2021-03-19,,0.336944444,40,12,104,-0.0711,,,0,0.1498,,,,-1.6922,23,32,0.0176,2021-01-05 16:59:41Z,,2021-01-05 19:26:39Z,,,60,0,,2021-01-05 16:59:41Z,,FALSE,2.786388889,23,0.2505,0.091666667,0,-0.0079,,0,0.07,0.336944444,23,,115.17,60,0,0.26,3500,0.3075,0.34,,EMB210319P00104000,0.29,0,e8e14fe3-0315-4958-abb5-8acd17078bb9,Miscellaneous,?????,4,,3,2021-01-05 16:44:58Z,-9.69870626
-60.29384757,0.59,-52.61707989,488235,put,-15,Apache Corp.,9812.181944,24.10972222,Crude Petroleum and Natural Gas Extraction,premium,-,2021-01-05 16:39:50Z,2021-01-06 16:46:25Z,23.36638889,APA,,-9.090909091,0,2021-01-15,,0.105,100,-37.87618899,15,-0.3061,2.789444444,,0,1.0537,,2021-01-05 19:27:12Z,,-0.1558,-60.29384757,-95.04132231,0.1229,2021-01-13 15:33:42Z,2021-01-06 16:01:49Z,2021-01-05 21:15:49Z,,,0,0,,2021-01-05 16:46:08Z,2021-01-06 15:46:54Z,FALSE,4.599722222,-60.29384757,0.6149,0.105,0,-0.0498,,0,0.0095,190.8977778,-60.29384757,23.11777778,16.18,0,0,0.03,8070,0.240222222,0.55,,APA210115P00015000,0.62,0,d4a3ac55-3342-4d70-9edb-a7de0eaf6cd9,Energy Minerals,???????,-95.04132231,,2460,2021-01-05 16:46:08Z,-7.292954265
-27.43589744,1.3,-10.74685535,64262.5,put,20,DocuSign Inc,125546.3822,70.87555556,Software Publishers,premium,-,2021-01-05 16:42:24Z,2021-01-08 15:34:56Z,70.35666667,DOCU,4.567777778,109.8113208,598.465,2021-02-19,2021-01-05 21:16:28Z,46.3475,89.75501114,13.2946299,180,-0.0678,46.3475,,0,0.5068,4.567777778,2021-01-07 15:03:15Z,4.567777778,-2.1039,-44.54595117,-37.35849057,0.0032,2021-01-19 19:27:22Z,2021-01-08 15:03:48Z,2021-01-06 14:46:55Z,2021-01-05 21:16:28Z,2021-01-06 14:46:55Z,7.349665924,0.222717149,22.07527778,2021-01-07 15:03:15Z,2021-01-07 19:35:26Z,FALSE,22.07527778,-49.12342767,1.32,0.0475,0.890868597,-0.0597,22.07527778,1735.711667,0.1065,338.7494444,-42.8950244,50.88388889,231.02,10.24498886,22.07527778,0.19,485,0.734766147,2.78,2021-01-05 21:16:28Z,DOCU210219P00180000,1.35,2.004454343,a8ef525d-e58a-47db-bf81-5c38a0ad00b2,Technology Services,?????,-85.66037736,2021-01-06 14:46:55Z,124,2021-01-05 16:45:15Z,-22.08466799
57.29402872,6.9,45.89912281,727920,call,20,Bilibili Inc - ADR,108.5061111,,Software Publishers,premium,-,2021-01-05 16:46:44Z,,,BILI,23.74222222,398.6111111,68708.7575,2021-02-19,2021-01-06 16:31:16Z,0.474444444,7.046979866,13.23450855,110,0.4306,21.99222222,2021-01-07 15:33:24Z,83.55704698,0.7183,46.77777778,2021-01-06 14:46:16Z,45.99166667,4.5939,117.4822893,50,0.015,2021-01-06 14:46:16Z,,2021-01-25 14:46:18Z,2021-01-07 15:33:24Z,2021-01-08 15:03:21Z,92.28187919,48.65771812,70.27694444,2021-01-05 17:15:12Z,,TRUE,477.9927778,122.080292,7.2,0.213888889,73.48993289,-0.1056,69.99916667,75199.345,0.1414,21.99222222,79.12829957,,102.83,92.95302013,51487.00528,6,1011,15.65872483,35.9,2021-01-07 14:46:14Z,BILI210219C00110000,7.5,85.23489933,c84bf04a-9b35-47ea-bd6d-cbef91c4f156,Technology Services,???,-16.66666667,2021-01-08 14:46:41Z,232,2021-01-05 16:59:34Z,6.972673344
72.66865079,6.1,65.2958153,257040,call,20,Pacific Biosciences of California Inc,36.94944444,,Analytical Laboratory Instrument Manufacturing,free,-,2021-01-05 16:47:18Z,,,PACB,69.995,155.5555556,9053.5125,2021-02-19,2021-01-08 14:47:00Z,,16.66666667,-0.176366843,25,0.6807,,2021-01-05 16:59:44Z,100,1.2643,69.995,,69.995,1.5787,72.66865079,61.9047619,0.0288,2021-01-05 17:59:27Z,,2021-01-08 21:01:11Z,2021-01-08 14:47:00Z,2021-01-08 15:34:49Z,81.25,13.54166667,70.79194444,,,TRUE,76.23138889,72.66865079,6.25,0.207222222,75,-0.0491,69.995,10075.79583,0.0351,1.2025,72.66865079,,27.88,83.33333333,1183.684722,6,408,10.878125,16.1,2021-01-08 14:47:00Z,PACB210219C00025000,6.5,81.25,fc3e73c2-696b-4bb7-9371-18304b64f8c2,Health Technology,????????,-4.761904762,2021-01-08 14:47:00Z,99,2021-01-05 16:59:44Z,-10.32998565
1.827284105,1.08,1.827284105,1372517.5,put,20,L Brands Inc,19383.73778,,Men's Clothing Stores,premium,-,2021-01-05 16:49:19Z,,555.9375,LB,550.2188889,112.7659574,550.2188889,2021-02-19,2021-01-28 15:02:27Z,0.174722222,74.6031746,1.827284105,35,-0.22,554.5675,,0,0.5981,550.2188889,2021-01-28 19:23:22Z,550.2188889,-1.2448,-1.0469436,-22.55319149,0.0349,2021-01-28 20:45:34Z,2021-01-28 20:45:34Z,2021-01-28 15:02:27Z,2021-01-28 15:02:27Z,,12.6984127,0,,2021-01-05 16:59:48Z,2021-01-28 20:28:25Z,FALSE,550.2188889,1.827284105,1.1899,0.174722222,1.587301587,-0.0277,550.2188889,1652.565,0.042,555.9375,1.827284105,555.6516667,40.25,25.3968254,0,0.74,11681,1.162698413,2.5,2021-01-28 15:02:27Z,LB210219P00035000,1.27,4.761904762,c9fe31e5-ed56-4a23-a559-f6840f32f315,Retail Trade,?????,-37.0212766,2021-01-28 15:02:27Z,435,2021-01-05 16:59:48Z,-13.04347826
-17.65704584,0.15,-4.108658744,46918.5,put,-8,BlackRock Institutional Trust Company N.A. - BTC iShares China Large-C,13638.91472,144.4655556,,premium,-,2021-01-05 16:51:54Z,2021-01-11 17:19:50Z,142.1711111,FXI,27.10833333,100,73.53527778,2021-01-22,2021-01-06 19:58:24Z,22.15277778,79.8816568,2.23325062,44,-0.1147,23.16055556,,0,0.2649,27.36472222,2021-01-06 16:01:32Z,27.36472222,-0.2622,-21.81714068,-74.19354839,0.0714,2021-01-13 18:05:43Z,2021-01-11 15:02:10Z,2021-01-07 15:02:08Z,2021-01-06 20:13:47Z,,11.24260355,0,,2021-01-06 15:01:04Z,2021-01-06 18:43:17Z,FALSE,46.17055556,-21.81714068,0.1553,0.142222222,1.183431953,-0.0157,27.36472222,147.5975,0.0198,193.2302778,-21.81714068,25.85638889,47.17,20.1183432,0,0.04,3027,0.121183432,0.31,2021-01-06 20:13:47Z,FXI210122P00044000,0.16,2.366863905,13c298d4-eca2-43c0-93e3-d461cfcb5880,,???????,-74.19354839,2021-01-06 20:13:47Z,29,2021-01-05 17:00:26Z,-6.720373119
-20.55555556,0.45,-19.35483871,271050,put,20,Host Hotels & Resorts Inc,79588.12306,243.5327778,Other Financial Vehicles,free,-,2021-01-05 16:54:23Z,2021-01-15 20:26:21Z,71.94194444,HST,21.86305556,60,0,2021-02-19,2021-01-06 14:46:10Z,22.62833333,90.93655589,-11.34615385,13,-0.2923,23.12694444,,0,0.4988,574.4427778,2021-01-06 16:02:00Z,574.4427778,-0.5721,-14.10876133,0,0.1388,2021-01-21 17:24:27Z,2021-01-08 16:50:54Z,2021-01-29 17:45:55Z,2021-01-29 15:20:57Z,,6.344410876,0,,2021-01-06 15:32:05Z,2021-01-06 18:29:01Z,FALSE,576.8588889,-19.2936803,0.5,0.108333333,0,-0.0094,,5756.415278,0.017,384.5011111,-18.37696335,25.57722222,14.13,9.063444109,0,0.2,5421,0.429456193,0.8,2021-01-29 15:20:57Z,HST210219P00013000,0.55,3.021148036,c496b8a9-5c76-49ca-b88b-5f798d87cd9e,Finance,?????,-60,,107,2021-01-05 17:00:53Z,-7.997169144
0.721732157,1.4,0.721732157,435000,put,167,VBI Vaccines Inc.,64933.38472,,Biological Product (except Diagnostic) Manufacturing,premium,-,2021-01-05 16:54:30Z,,,VBIV,,20.68965517,0,2021-07-16,,334.1302778,96.37305699,2.434077079,3.5,-0.3889,,2021-01-05 16:59:52Z,100,1.2735,,,,-1.3705,-4.895479721,-3.448275862,0.1385,2021-01-20 16:07:01Z,,2021-01-28 16:24:31Z,,,0.518134715,0,,2021-01-19 15:02:19Z,,TRUE,551.5002778,-5.366251785,1.45,0.089444444,0,-0.0028,,0,0.0082,359.2086111,-3.134796238,,2.97,3.626943005,0,1.25,3000,1.379015544,1.75,,VBIV210716P00003500,1.5,0,18dbaeeb-32ff-4a6f-aa31-6a9c0f0fb605,Health Technology,?????,-13.79310345,,76,2021-01-05 16:59:52Z,17.84511785
8.439691445,1.77,2.179633867,337824,call,-8,Apache Corp.,27676.83083,385.7775,Crude Petroleum and Natural Gas Extraction,premium,-,2021-01-05 16:57:04Z,2021-01-21 18:43:43Z,384.7280556,APA,47.35972222,101.0869565,6687.888611,2021-01-22,2021-01-07 16:18:39Z,1.033611111,42.10526316,2.348236259,15.5,0.6224,22.07138889,2021-01-05 17:00:53Z,100,1.0242,167.3438889,2021-01-06 15:01:21Z,167.1013889,0.3966,10.40180374,-48.91304348,0.1022,2021-01-22 15:03:47Z,2021-01-21 17:40:45Z,2021-01-14 15:35:15Z,2021-01-12 16:17:42Z,,42.41486068,0,,2021-01-05 17:59:05Z,2021-01-11 16:34:49Z,TRUE,214.6363889,10.40180374,1.8393,0.063611111,9.907120743,-0.0333,168.3516667,15048.03944,0.0133,406.1119444,20.95129761,143.6291667,16.46,57.89473684,0,0.61,1836,2.031393189,3.7,2021-01-12 16:03:09Z,APA210122C00015500,1.91,22.91021672,155b03e9-7e22-4339-8f0f-cb05bed22fba,Energy Minerals,,-66.84782609,2021-01-12 17:18:10Z,36,2021-01-05 17:00:53Z,-5.832320778
