underlying_purchase_price,time_to_first_plus_fifty_timestamp,rho,high_diff_time,time_to_first_minus_twenty,strike_price,amount_of_time_above_thirty_percent,theo,tags,time_to_first_plus_fifty,theta,gamma,time_to_first_plus_twenty_timestamp,time_to_first_plus_twenty,amount_of_time_above_itm_percent,industry_type,time_spent_below_zero_in_hours,time_to_first_plus_hundred,low_date_time,avg_ask,time_to_first_minus_thirty_timestamp,high_date_time,time_to_first_minus_fourty_timestamp,emojis,sector,time_to_first_plus_thirty_timestamp,avg_seven_day_return,days_to_expiry,avg_twentyone_day_return,amount_of_time_above_ten_percent,tier,avg_three_day_return,delta,volume,avg_one_day_return,amount_of_time_above_zero_percent,time_to_first_plus_fourty,time_to_first_minus_twenty_timestamp,avg_fourteen_day_return,time_to_first_plus_thirty,option_symbol,time_to_first_minus_thirty,amount_of_time_below_zero_percent,diff,time_to_first_plus_ten_timestamp,time_spent_above_fifty_in_hours,amount_of_time_above_hundred_percent,time_to_first_minus_fourty,high_return,time_to_first_minus_fifty_timestamp,low_diff_time,time_to_first_plus_ten,low,company_name,open_interest,time_spent_above_thirty_in_hours,time_to_first_plus_hundred_timestamp,ever_itm,ask,vega,ticker_symbol,high,bid,time_to_first_minus_ten,option_type,buy_amount,low_return,implied_volatility,alert_time,id,expires_at,itm_time,time_spent_above_hundred_in_hours,current_return,amount_of_time_above_fifty_percent,time_to_first_plus_fourty_timestamp,time_to_first_minus_fifty,avg_return,time_to_first_minus_ten_timestamp
41.02,,0.1393,0.189722222,0.746666667,44,0,1.0114,-,,-0.2212,0.0672,,,0,In-Vitro Diagnostic Substance Manufacturing,3842.791667,,2021-05-03 14:53:56Z,0.266595745,2021-05-03 16:02:02Z,2021-05-07 14:05:02Z,2021-05-03 16:02:02Z,???????????,Finance,,-73.34042553,-30,-73.34042553,0,premium,-73.34042553,0.316,3282,-57.28571429,0,,2021-05-03 15:27:21Z,-73.34042553,,RIOT210507C00044000,1.324722222,100,7.264748903,2021-05-03 14:53:56Z,0,0,1.324722222,-7,2021-05-04 13:46:24Z,95.37472222,0.189722222,0.02,Riot Blockchain Inc,1072,0,,FALSE,1.02,0.0158,RIOT,0.93,0.98,0.746666667,call,328200,-98,1.1949,2021-05-03 14:42:33Z,77b2c4f6-5f5e-43e5-9fa4-ff66d706f7c1,2021-05-07,,0,-98,0,,23.06416667,-73.34042553,2021-05-03 15:27:21Z
91.72,,-74.8112,29.17416667,95.87916667,85,0,11.75,-,,-0.0114,0.0094,,,0,Software Publishers,75771.58361,,2021-05-04 19:55:47Z,10.24889241,2021-05-24 14:18:37Z,2021-05-28 17:11:53Z,,???????,Consumer Durables,,-6.252523684,593,-11.66474986,0,premium,-1.192424597,-0.3464,2140,3.356973995,1.582278481,,2021-05-07 14:38:05Z,-8.502454992,,ATVI230120P00085000,503.5547222,98.41772152,-7.326646315,2021-05-03 14:54:34Z,0,0,,17.44680851,,602.4425,0.153888889,8.25,Activision Blizzard Inc,413,0,,FALSE,12.8,0.4432,ATVI,13.8,10.7,2.1275,put,2514500,-29.78723404,0.3254,2021-05-03 14:45:20Z,4edd55b8-bfda-43fb-8a4d-5794f72808c1,2023-01-20,,0,-29.78723404,0,,,-12.77538379,2021-05-03 16:52:59Z
133.38,2021-05-04 14:04:59Z,-0.6866,25.45944444,167.0158333,124,13.30049261,0.3774,-,23.3175,-0.0374,0.0226,2021-05-04 13:47:24Z,23.02444444,0,Footwear Manufacturing,37124.83444,24.65805556,2021-05-04 16:13:30Z,0.293940887,2021-05-10 13:46:53Z,2021-05-21 15:08:34Z,2021-05-10 13:46:53Z,??,Consumer Non-Durables,2021-05-04 13:47:24Z,12.60273973,-16,-19.46825022,16.25615764,free,39.08138598,-0.1001,2015,52.53005312,26.10837438,23.3175,2021-05-10 13:46:53Z,-6.020632505,23.02444444,NKE210521P00124000,167.0158333,73.89162562,-7.032538611,2021-05-03 14:55:02Z,633.1297222,4.433497537,167.0158333,135.6164384,2021-05-10 13:46:53Z,432.3772222,0.151666667,0.03,Nike  Inc. - Class B,459,756.4686111,2021-05-04 15:25:25Z,FALSE,0.38,0.0524,NKE,0.86,0.35,0.704166667,put,73547.5,-91.78082192,0.2605,2021-05-03 14:45:56Z,362312ff-c339-47e2-8f58-e8ad8831a19c,2021-05-21,,233.5947222,-91.78082192,11.8226601,2021-05-04 14:04:59Z,167.0158333,-19.46825022,2021-05-03 15:28:11Z
210.84,,9.6875,166.9663889,530.8508333,260,3.411131059,1.7447,-,,-0.0188,0.0053,2021-05-04 14:20:22Z,23.53611111,0,Couriers and Express Delivery Services,143222.7111,,2021-05-10 13:46:11Z,1.798150808,2021-06-02 14:18:12Z,2021-06-04 18:14:36Z,2021-06-02 17:04:11Z,?????,Transportation,2021-05-04 14:36:44Z,23.85539231,131,15.43857782,33.57271095,premium,22.40926457,0.1098,500,24.3786913,56.5529623,,2021-05-25 17:39:15Z,20.38366652,23.80888889,UPS211015C00260000,719.5,43.4470377,23.31625877,2021-05-03 14:54:42Z,0,0,722.2663889,41.54727794,,771.44,0.108333333,0.92,United Parcel Service  Inc. - Class B,50,1977.951111,,FALSE,1.81,0.2657,UPS,2.47,1.68,504.0775,call,87250,-47.27793696,0.248,2021-05-03 14:48:12Z,4a2b0c96-0f92-4f5e-a818-054371e34110,2021-10-15,,0,-44.98567335,0,,,3.04589157,2021-05-24 14:52:51Z
8.9,,0.0394,0.814166667,2.789444444,9.5,0,0.9552,-,,-0.1417,0.1322,,,0,Biological Product (except Diagnostic) Manufacturing,3624.849167,,2021-05-03 15:44:19Z,0.368241758,2021-05-03 17:42:50Z,2021-05-06 19:35:01Z,2021-05-03 17:59:16Z,??????????,Health Technology,,-61.64148352,-30,-61.64148352,3.296703297,free,-61.64148352,0.4891,1627,-35.03401361,6.593406593,,2021-05-03 17:42:50Z,-61.64148352,,VXRT210507C00009500,2.789444444,93.40659341,6.741573034,2021-05-03 15:10:08Z,0,0,3.063333333,19.79166667,2021-05-03 17:59:16Z,76.65916667,0.244444444,0.02,Vaxart Inc,493,0,,FALSE,0.99,0.0038,VXRT,1.15,0.93,2.502777778,call,156192,-97.91666667,3.1479,2021-05-03 14:55:28Z,8f4bca3d-786e-40f1-a879-a0f26212f5f9,2021-05-07,,0,-95.83333333,0,,3.063333333,-61.64148352,2021-05-03 17:25:38Z
58.57,2021-05-05 14:19:47Z,3.3371,167.1022222,,55,57.16911765,3.8244,-,47.35666667,-0.0077,0.0638,2021-05-04 13:46:15Z,22.79777778,100,Petroleum Refineries,42830.27139,166.8002778,2021-05-10 14:04:31Z,5.439705882,,2021-05-27 17:58:58Z,,?????,Energy Minerals,2021-05-05 14:04:04Z,56.73175745,-2,47.72727273,78.125,premium,36.8557758,0.707,267,15.39502165,85.47794118,47.09472222,,58.01369173,47.09472222,XOM210604C00055000,,14.52205882,-6.095270616,2021-05-03 15:10:17Z,77615.90722,3.492647059,,128.5714286,,579.0097222,0.198333333,3.25,Exxon Mobil Corp.,11,107913.5239,2021-05-10 13:46:24Z,TRUE,3.95,0.0579,XOM,8.8,3.75,528.6902778,call,102795,-15.58441558,0.2999,2021-05-03 14:58:23Z,688d35ae-91a1-4e66-94ec-47bf8f8bb98a,2021-06-04,2021-05-03 15:10:17Z,3227.960278,68.83116883,41.36029412,2021-05-05 14:04:04Z,,41.29106188,2021-05-25 15:39:48Z
15.385,,0.1653,1.864722222,23.85666667,18,0,0.385,-,,-0.0255,0.1038,,,0,All Other Telecommunications,47877.53972,,2021-05-03 16:53:02Z,0.116164875,2021-05-04 15:40:39Z,2021-05-18 14:35:37Z,2021-05-04 18:19:50Z,?????,Technology Services,,-52.91750503,-16,-69.82730531,0,premium,-42.12662338,0.2398,7667,-21.97190565,1.433691756,,2021-05-04 14:52:33Z,-67.91856792,,IQ210521C00018000,24.65833333,98.56630824,16.99707507,2021-05-03 15:10:40Z,0,0,27.31138889,9.090909091,2021-05-05 14:19:54Z,359.5744444,0.158611111,0.02,iQIYI Inc - ADR,648,0,,FALSE,0.39,0.0107,IQ,0.42,0.38,0.728055556,call,295179.5,-94.80519481,0.8695,2021-05-03 15:01:09Z,b54e6ad6-01b1-4f82-89e1-98843ed307f4,2021-05-21,,0,-94.80519481,0,,47.3125,-69.82730531,2021-05-03 15:44:50Z
24.12,,0.0423,0.716388889,22.73694444,27.5,0,0.237,-,,-0.085,0.0823,2021-05-03 15:45:44Z,0.716388889,0,All Other Miscellaneous Textile Product Mills,2616.538889,,2021-05-03 15:45:44Z,0.113896104,2021-05-04 13:46:58Z,2021-05-04 14:20:38Z,2021-05-04 13:46:58Z,????????,Consumer Non-Durables,,-51.53357281,-30,-51.53357281,7.792207792,free,-51.53357281,0.1605,2578,-42.05522861,12.98701299,,2021-05-04 13:46:58Z,-51.53357281,,UAA210507C00027500,22.73694444,87.01298701,14.013267,2021-05-03 15:11:41Z,0,0,22.73694444,36.17021277,2021-05-04 13:46:58Z,23.29805556,0.148888889,0.03,Under Armour Inc - Class A,46,0,,FALSE,0.26,0.0064,UAA,0.32,0.21,22.73694444,call,60583,-87.23404255,1.136,2021-05-03 15:02:45Z,b1a45ae8-48d0-4006-8199-5666ded02402,2021-05-07,,0,-87.23404255,0,,22.73694444,-51.53357281,2021-05-04 13:46:58Z
12.71,,0.0683,4.613333333,25.40805556,15.5,0,0.2567,-,,-0.032,0.1054,,,0,Automobile Manufacturing,14675.65,,2021-05-03 19:40:48Z,0.11962963,2021-05-04 19:07:06Z,2021-05-10 14:05:05Z,2021-05-05 18:03:03Z,???,Finance,,-45.95677687,-23,-53.08641975,7.407407407,premium,-29.53431373,0.1947,1803,-8.683473389,8.641975309,,2021-05-04 16:28:29Z,-53.08641975,,FSR210514C00015500,28.05166667,91.35802469,21.95121951,2021-05-03 15:10:47Z,0,0,50.98416667,21.56862745,2021-05-05 19:29:16Z,167.0180556,0.113055556,0.02,Fisker Inc - Class A,258,0,,FALSE,0.26,0.0061,FSR,0.31,0.25,0.113055556,call,45976.5,-92.15686275,1.1711,2021-05-03 15:04:00Z,a2863cb9-550a-4370-89f4-170fa2606ed5,2021-05-14,,0,-92.15686275,0,,52.42111111,-53.08641975,2021-05-03 15:10:47Z
132.82,2021-05-04 14:03:39Z,-0.6088,220.5519444,502.8236111,110,52.04991087,0.2549,-,22.85833333,-0.0167,0.0059,2021-05-04 13:46:01Z,22.56444444,0,Electronic Computer Manufacturing,134071.2656,23.39805556,2021-05-12 19:45:16Z,0.368805704,2021-05-24 14:34:37Z,2021-06-04 16:19:46Z,2021-05-26 13:45:49Z,??????????,Electronic Technology,2021-05-04 14:03:39Z,81.81818182,5,93.24504671,56.68449198,premium,84.31372549,-0.0407,548,84.23369348,61.85383244,22.85833333,2021-05-24 14:01:34Z,121.5462611,22.85833333,AAPL210611P00110000,503.3744444,38.14616756,-17.18114742,2021-05-03 15:27:02Z,49366.61944,23.17290553,550.5611111,386.2745098,2021-05-26 16:34:25Z,769.1269444,0.248055556,0.04,Apple Inc,77,60638.10611,2021-05-04 14:36:02Z,FALSE,0.26,0.0381,AAPL,1.24,0.25,502.8236111,put,13974,-84.31372549,0.3408,2021-05-03 15:12:09Z,3459f76e-eef1-491c-90db-69c2dfd422ee,2021-06-11,,27348.51722,-84.31372549,44.0285205,2021-05-04 14:03:39Z,553.3711111,44.62968788,2021-05-24 14:01:34Z
107.27,2021-05-04 13:46:03Z,-0.1527,24.98277778,94.54083333,98.5,72.64150943,0.4754,-,22.54361111,-0.1859,0.025,2021-05-03 15:27:10Z,0.228888889,18.86792453,,1548.178889,22.54361111,2021-05-04 16:12:24Z,1.368584906,2021-05-07 13:45:53Z,2021-05-07 17:05:59Z,2021-05-07 13:45:53Z,??????,Miscellaneous,2021-05-03 15:44:30Z,188.123138,-30,188.123138,80.18867925,free,217.3245614,-0.1183,464,284.4897959,84.90566038,22.54361111,2021-05-07 13:45:53Z,188.123138,0.517777778,TQQQ210507P00098500,94.54083333,15.09433962,-8.175631584,2021-05-03 16:01:51Z,3479.894167,59.43396226,94.54083333,763.1578947,2021-05-07 13:45:53Z,97.87583333,0.806944444,0.03,ProShares Trust - ProShares UltraPro QQQ,134,3565.613611,2021-05-04 13:46:03Z,TRUE,0.49,0.0229,TQQQ,4.1,0.46,94.54083333,put,22040,-93.68421053,0.6868,2021-05-03 15:13:26Z,e1300785-f8ed-4909-8635-82cb3de029fb,2021-05-07,2021-05-04 15:40:12Z,2991.285278,-91.57894737,66.98113208,2021-05-04 13:46:03Z,94.54083333,188.123138,2021-05-07 13:45:53Z
50.3,2021-05-05 14:04:02Z,-1.0686,406.5086111,47.64444444,41,3.417266187,0.3974,-,46.80527778,-0.0098,0.0209,2021-05-05 14:04:02Z,46.80527778,0,,196174.4367,,2021-05-20 13:46:14Z,0.288938849,2021-05-05 16:21:06Z,2021-06-04 16:01:34Z,2021-05-07 15:11:21Z,???????????,,2021-05-05 14:04:02Z,-13.1283906,40,-14.72316422,5.395683453,free,-7.675733908,-0.0966,1000,2.289253973,9.172661871,46.80527778,2021-05-05 14:54:23Z,-14.74166379,46.80527778,XLE210716P00041000,49.08972222,90.82733813,-18.48906561,2021-05-03 15:27:10Z,3319.459444,0,95.92722222,92.40506329,2021-05-07 19:36:10Z,768.7641667,0.190833333,0.09,SSgA Active Trust - SSgA Energy Select Sector SPDR,79,4633.251944,,FALSE,0.41,0.0387,XLE,0.76,0.38,47.64444444,put,39500,-77.21518987,0.3597,2021-05-03 15:15:43Z,da9cf66e-5b9c-4d3f-93f3-a80a943b1bcf,2021-07-16,,0,-77.21518987,2.338129496,2021-05-05 14:04:02Z,100.3408333,-26.85092432,2021-05-05 14:54:23Z
20.46,2021-05-05 14:37:03Z,2.0703,766.5025,,24,92.15686275,0.9865,-,47.35138889,-0.007,0.0649,2021-05-04 15:57:33Z,24.69305556,11.22994652,Support Activities for Oil and Gas Operations,0.196944444,100.6225,2021-06-04 13:46:07Z,1.819180036,,2021-05-03 15:27:47Z,,??????????,Industrial Services,2021-05-05 13:46:22Z,56.74349125,103,78.89629277,97.14795009,premium,39.44654882,0.3176,812,20.1814059,99.82174688,46.81027778,,79.55509291,46.50666667,HAL210917C00024000,,0.178253119,17.30205279,2021-05-03 15:27:47Z,161867.4953,30.48128342,,197.979798,,0.196944444,0.196944444,1,Halliburton Co.,32,208730.8411,2021-05-07 19:53:19Z,TRUE,1,0.0446,HAL,2.95,0.98,,call,80388,1.01010101,0.4377,2021-05-03 15:15:58Z,dc552ee8-ea95-4fbd-bede-a7761113cf4c,2021-09-17,2021-06-02 15:08:25Z,78841.55139,165.6565657,76.114082,2021-05-05 14:04:35Z,,83.75555916,
