time_to_first_minus_fifty,avg_fourteen_day_return,time_to_first_plus_hundred,amount_of_time_above_ten_percent,tier,time_spent_below_zero_in_hours,time_to_first_plus_fifty_timestamp,time_to_first_plus_fifty,amount_of_time_above_itm_percent,volume,current_return,high_diff_time,time_to_first_plus_twenty_timestamp,avg_ask,high_date_time,amount_of_time_above_fifty_percent,avg_one_day_return,time_to_first_plus_fourty_timestamp,time_to_first_plus_hundred_timestamp,open_interest,time_to_first_minus_twenty,gamma,avg_twentyone_day_return,company_name,bid,amount_of_time_below_zero_percent,time_to_first_minus_thirty,theta,time_to_first_plus_fourty,alert_time,time_to_first_minus_ten,low_return,rho,strike_price,implied_volatility,ask,time_to_first_plus_ten,time_to_first_minus_fourty_timestamp,time_spent_above_thirty_in_hours,time_to_first_plus_ten_timestamp,emojis,time_to_first_minus_ten_timestamp,vega,expires_at,amount_of_time_above_zero_percent,delta,diff,buy_amount,time_to_first_plus_thirty,itm_time,low_date_time,amount_of_time_above_hundred_percent,underlying_purchase_price,avg_seven_day_return,time_to_first_minus_twenty_timestamp,theo,low,avg_return,low_diff_time,time_spent_above_fifty_in_hours,option_type,high,ever_itm,option_symbol,avg_three_day_return,sector,id,amount_of_time_above_thirty_percent,tags,time_to_first_plus_twenty,time_to_first_minus_fifty_timestamp,time_to_first_minus_thirty_timestamp,high_return,time_to_first_minus_fourty,ticker_symbol,days_to_expiry,time_to_first_plus_thirty_timestamp,time_spent_above_hundred_in_hours,industry_type
,44.80150919,,86.74242424,free,753.7605556,2021-02-22 16:19:42Z,237.4991667,100,2000,40.15748031,260.1961111,2021-02-17 15:32:32Z,18.46761364,2021-02-16 14:46:12Z,43.18181818,-1.706036745,2021-02-19 14:45:18Z,,10,,0.0225,45.4142806,Apple Inc,12.6,6.439393939,,-0.0516,163.9258333,2021-02-12 18:49:45Z,,-9.05511811,-13.1694,145,0.3051,12.8,0.217222222,,50070.87278,2021-02-12 19:02:47Z,????????,,0.1428,2021-03-26,93.56060606,-0.7566,8.071849147,2540000,139.9363889,2021-02-12 19:02:47Z,2021-02-23 15:01:31Z,0,134.17,20.00209045,,12.7,11.55,45.4142806,91.94083333,35229.70111,put,25.1,TRUE,AAPL210326P00145000,-0.711689885,Electronic Technology,47994920-ac41-45da-bd84-d4257e5847a4,67.42424242,-,116.7130556,,,97.63779528,,AAPL,24,2021-02-18 14:45:56Z,0,Electronic Computer Manufacturing
115.8238889,-76.07485107,,0.462962963,free,41823.58417,,,16.66666667,1035,-98.6013986,91.83111111,,0.34212963,2021-02-25 17:41:50Z,0,-2.952602953,,,330,93.84916667,0.175,-76.07485107,Barrick Gold Corp.,1.41,99.53703704,98.17888889,-0.0163,,2021-02-12 18:56:50Z,92.08333333,-98.6013986,0.6038,21,0.3985,1.45,0.110277778,2021-02-17 14:46:16Z,0,2021-02-12 19:03:27Z,???????,2021-02-16 15:01:50Z,0.0133,2021-02-26,0.462962963,0.766,-5.490549055,148005,,2021-02-12 19:03:27Z,2021-02-16 14:46:42Z,0,22.22,-59.36010892,2021-02-16 16:47:47Z,1.42,0.02,-76.07485107,310.75,0,call,1.62,TRUE,GOLD210226C00021000,-11.21570737,Non-Energy Minerals,63d11ed5-8546-4a8a-8526-e739d3c8e4ec,0,-,,2021-02-17 14:46:16Z,2021-02-16 21:07:34Z,13.28671329,115.8238889,GOLD,-4,,0,Gold Ore Mining
91.69166667,-60.6918239,,0,free,2709.095278,,,0,988,-88.67924528,1.500833333,,0.104166667,2021-02-17 17:04:42Z,0,7.075471698,,,251,91.69166667,0.0416,-60.6918239,Aphria Inc,0.21,97.22222222,91.69166667,-0.0593,,2021-02-12 19:04:40Z,0.228611111,-88.67924528,-0.0432,13.5,1.8094,0.32,0.228611111,2021-02-16 14:46:10Z,0,2021-02-12 19:18:23Z,??????,2021-02-12 19:18:23Z,0.0047,2021-02-19,2.777777778,-0.1094,-24.3697479,26182,,,2021-02-12 20:34:43Z,0,17.85,-60.6918239,2021-02-16 14:46:10Z,0.2656,0.03,-60.6918239,118.0005556,0,put,0.33,FALSE,APHA210219P00013500,-51.23367199,Process Industries,5b2b5baf-d8a6-48ff-a5db-f845ffc98662,0,-,,2021-02-16 14:46:10Z,2021-02-16 14:46:10Z,24.52830189,91.69166667,APHA,-11,,0,Medicinal and Botanical Manufacturing
116.0952778,-21.42857143,,29.62962963,free,2057.382222,,,0,1185,-64.28571429,118.6308333,2021-02-12 20:18:49Z,0.11,2021-02-17 16:03:12Z,0,29.46428571,,,284,115.8594444,0.1665,-21.42857143,Cameco Corp.,0.12,62.96296296,115.8594444,-0.0291,,2021-02-12 19:11:45Z,115.8594444,-71.42857143,-0.0565,14.5,0.6938,0.16,1.6625,2021-02-17 15:17:28Z,118.6308333,2021-02-12 20:51:30Z,????,2021-02-17 15:03:19Z,0.0057,2021-02-19,37.03703704,-0.1734,-8.575031526,16590,118.6308333,,2021-02-17 17:49:36Z,0,15.86,-21.42857143,2021-02-17 15:03:19Z,0.1499,0.04,-21.42857143,116.8575,0,put,0.21,FALSE,CCJ210219P00014500,29.46428571,Non-Energy Minerals,c562b26f-e740-4389-88f6-7065a55317bc,3.703703704,-,1.117777778,2021-02-17 15:17:28Z,2021-02-17 15:03:19Z,50,116.0952778,CCJ,-11,2021-02-17 17:49:36Z,0,Uranium-Radium-Vanadium Ore Mining
116.2144444,-40.39238177,,0,free,13591.41111,,,100,602,-54.9071618,0.22,,5.618018018,2021-02-19 19:37:38Z,0,-1.780977643,,,75,91.9575,0.0223,-40.39238177,Chevron Corp.,9.3,99.0990991,96.46944444,-0.2007,,2021-02-12 19:20:21Z,91.7,-58.09018568,-1.8273,100,0.461,9.55,0.22,2021-02-17 15:02:42Z,0,2021-02-12 19:33:33Z,????,2021-02-16 15:02:21Z,0.0169,2021-02-19,0.900900901,-0.9194,8.790252393,567385,,2021-02-12 19:33:33Z,2021-02-12 19:33:33Z,0,91.92,-40.39238177,2021-02-16 15:17:48Z,9.45,3.95,-40.39238177,168.2880556,0,put,9.6,TRUE,CVX210219P00100000,-17.4454193,Energy Minerals,22a2c700-9f18-4a9e-9e80-da6410dbdae9,0,-,,2021-02-17 15:33:13Z,2021-02-16 19:48:31Z,1.856763926,115.7058333,CVX,-11,,0,Petroleum Refineries
,-17.06146653,,0,free,59332.94611,,,0,2004,-31.89189189,91.31944444,,3.773793103,2021-02-23 18:05:45Z,0,3.166023166,,,39,235.835,0.0049,-18.40447344,Microsoft Corporation,4.5,97.31800766,237.6297222,-0.0314,,2021-02-12 19:27:27Z,166.1294444,-37.72972973,22.8978,305,0.2836,4.75,0.096944444,,0,2021-02-12 19:33:16Z,?????,2021-02-19 17:35:13Z,0.4875,2021-09-17,2.681992337,0.1769,25.16928633,926850,,,2021-02-16 14:46:37Z,0,243.67,-2.004914005,2021-02-22 15:17:33Z,4.625,2.88,-18.40447344,262.6383333,0,call,4.9,FALSE,MSFT210917C00305000,1.03950104,Technology Services,e144472c-b0f3-497d-84db-63683731eb2d,0,-,,,2021-02-22 17:05:14Z,5.945945946,,MSFT,199,,0,Data Processing  Hosting  and Related Services
404.0116667,-14.23091676,163.1752778,4.214559387,free,53942.88667,2021-02-19 14:45:18Z,163.1752778,0,532,-51.51515152,163.1752778,2021-02-16 14:46:09Z,1.631954023,2021-03-01 20:43:49Z,0.383141762,3.872053872,2021-02-19 14:45:18Z,2021-02-19 14:45:18Z,147,163.9638889,0.0635,-17.57807965,ProShares Trust - ProShares Ultra VIX Short-Term Futures ETF,1.96,85.44061303,165.2386111,-0.0257,163.1752778,2021-02-12 19:34:47Z,143.2702778,-54.04040404,0.4299,11,1.7894,2,0.229722222,2021-02-24 17:21:09Z,254.3647222,2021-02-12 19:48:34Z,????????????,2021-02-18 18:51:00Z,0.0138,2021-04-01,14.55938697,0.5461,14.4640999,105336,91.18944444,,2021-02-19 14:45:18Z,0.383141762,9.61,-4.550045914,2021-02-19 15:32:37Z,1.98,0.91,-17.57807965,409.1505556,163.1752778,call,5.1,FALSE,UVXY210401C00011000,2.03962704,,00aebfff-459f-48b4-8306-c766c01f2da2,0.766283525,-,91.18944444,2021-03-01 15:35:29Z,2021-02-19 16:49:06Z,157.5757576,285.7727778,UVXY,30,2021-02-16 14:46:09Z,163.1752778,
92.35,-45.81043956,,0,free,5175.434722,,,0,668,-76.92307692,117.3691667,,0.140892857,2021-02-17 20:36:59Z,0,-5.769230769,,,105,91.06555556,0.0565,-45.81043956,Lyft Inc Cls A,0.25,98.21428571,91.59444444,-0.0573,,2021-02-12 19:41:53Z,0.363888889,-76.92307692,-0.1528,53.5,0.4734,0.27,0.125833333,2021-02-16 15:17:33Z,0,2021-02-12 19:49:26Z,??,2021-02-12 20:03:43Z,0.0172,2021-02-19,1.785714286,-0.1324,-6.859331476,17368,,,2021-02-17 17:04:02Z,0,57.44,-45.81043956,2021-02-16 14:45:49Z,0.2599,0.06,-45.81043956,120.9183333,0,put,0.29,FALSE,LYFT210219P00053500,-38.31360947,Technology Services,b101d2a3-713e-4894-bd3e-1322ed523277,0,-,,2021-02-16 16:02:53Z,2021-02-16 15:17:33Z,11.53846154,91.59444444,LYFT,-11,,0,General Freight Trucking  Local
145.3947222,-62.48768362,,0,free,45937.95028,,,48.88888889,940,-99.72881356,90.94416667,,2.766533333,2021-02-26 15:37:57Z,0,-1.694915254,,,56,91.71333333,0.0277,-62.48768362,fuboTV Inc,7.3,99.11111111,92.9625,-0.1584,,2021-02-12 19:50:14Z,91.44305556,-99.72881356,0.9584,42,1.3917,7.45,0.227777778,2021-02-18 15:49:28Z,0,2021-02-12 20:03:54Z,,2021-02-16 15:16:49Z,0.032,2021-02-26,0.888888889,0.6931,-9.521757863,693250,,2021-02-12 20:03:54Z,2021-02-16 14:46:53Z,0,46.42,-32.78805784,2021-02-16 15:33:02Z,7.35,0.02,-62.48768362,331.7952778,0,call,7.65,TRUE,FUBO210226C00042000,-20.6779661,Consumer Services,f22fb055-b420-4ad8-9048-d7b81258eaa7,0,-,,2021-02-18 21:13:55Z,2021-02-16 16:47:59Z,3.728813559,139.9872222,FUBO,-4,,0,Motion Picture and Video Production
94.85222222,-11.96845819,259.0911111,22.78481013,free,33952.83083,2021-02-23 14:46:48Z,258.8244444,8.438818565,854,-99.08196721,259.0911111,2021-02-23 14:46:48Z,6.712405063,2021-02-26 21:12:46Z,15.18987342,-8.590163934,2021-02-23 14:46:48Z,2021-02-23 15:02:48Z,244,90.82833333,0.0045,-11.96845819,NVIDIA Corp,7.25,75.52742616,90.82833333,-0.6289,258.8244444,2021-02-12 19:57:20Z,0.354722222,-99.08196721,-4.9346,545,0.5389,8,0.105555556,2021-02-16 15:47:37Z,12360.76583,2021-02-12 20:03:40Z,??????,2021-02-12 20:18:37Z,0.3287,2021-02-26,24.47257384,-0.2035,-7.850464129,651175,258.8244444,2021-02-23 15:02:48Z,2021-02-23 15:02:48Z,5.063291139,591.43,-32.47104828,2021-02-16 14:47:02Z,7.525,0.07,-11.96845819,337.2572222,10005.94139,put,24.55,TRUE,NVDA210226P00545000,-35.15762926,Electronic Technology,e4efdce3-4d23-4be0-b500-ac65be06f1e2,18.56540084,-,258.8244444,2021-02-16 18:48:28Z,2021-02-16 14:47:02Z,221.9672131,91.83805556,NVDA,-4,2021-02-23 14:46:48Z,3286.361111,Semiconductor and Related Device Manufacturing
334.8588889,24.94279176,114.6977778,49.80237154,free,39101.45417,2021-02-16 15:01:17Z,90.94305556,67.98418972,2415,-28.42105263,114.6977778,2021-02-16 15:01:17Z,5.715019763,2021-02-26 19:12:36Z,31.62055336,-5.263157895,2021-02-16 15:01:17Z,2021-02-17 14:46:34Z,793,258.9488889,0.0136,20.31620553,SOS Limited - ADR,4.5,50.19762846,258.9488889,-0.0021,90.94305556,2021-02-12 20:04:42Z,0.218055556,-58.94736842,1.7594,7.5,1.6168,5,0.218055556,2021-02-25 15:49:17Z,15404.91361,2021-02-12 20:17:47Z,???,2021-02-12 20:17:47Z,0.021,2023-01-20,49.80237154,0.833,6.837606838,1147125,90.94305556,2021-02-16 15:01:17Z,2021-02-17 14:46:34Z,2.766798419,7.02,74.65587045,2021-02-23 15:01:38Z,4.7499,1.95,20.31620553,335.1316667,9715.743889,call,12.5,TRUE,SOS230120C00007500,65.64210526,Technology Services,5ca95f4d-158f-4e74-b1bd-998693e4bbc4,43.47826087,-,90.94305556,2021-02-26 18:56:14Z,2021-02-23 15:01:38Z,163.1578947,307.7430556,SOS,689,2021-02-16 15:01:17Z,859.7544444,All Other Nondepository Credit Intermediation
114.5875,-81.51364764,,3.225806452,free,7826.727778,,,0,1348,-96.15384615,0.936666667,2021-02-12 21:08:00Z,0.096129032,2021-02-19 15:18:28Z,0,18.26923077,,,158,114.5875,0.0307,-81.51364764,Workhorse Group Inc,0.49,93.5483871,114.5875,-0.122,,2021-02-12 20:11:48Z,114.5875,-96.15384615,0.0931,46,1.4878,0.55,0.121111111,2021-02-17 14:47:03Z,0,2021-02-12 20:19:04Z,??,2021-02-17 14:47:03Z,0.0116,2021-02-19,6.451612903,0.147,26.93156733,70096,,,2021-02-12 21:08:00Z,0,36.24,-81.51364764,2021-02-17 14:47:03Z,0.52,0.02,-81.51364764,163.1111111,0,call,0.66,FALSE,WKHS210219C00046000,18.26923077,Producer Manufacturing,d9bd1fbb-ea63-4a9d-b56d-fbc8035cffa1,0,-,0.936666667,2021-02-17 14:47:03Z,2021-02-17 14:47:03Z,26.92307692,114.5875,WKHS,-11,,0,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
92.22138889,-31.76934325,,0.934579439,free,13173.84861,,,85.98130841,2236,-9.523809524,0.512777778,,1.002990654,2021-02-16 20:50:07Z,0,8.843537415,,,742,90.69555556,0.1665,-31.76934325,Aurora Cannabis Inc,1.45,95.3271028,90.95083333,-0.064,,2021-02-12 20:19:38Z,90.44277778,-65.98639456,-0.1764,13.5,1.3104,1.49,0.251666667,2021-02-16 15:16:41Z,0,2021-02-12 20:34:44Z,??????,2021-02-16 14:46:12Z,0.0068,2021-02-19,4.672897196,-0.6067,6.803797468,328692,,2021-02-12 20:34:44Z,2021-02-12 20:50:24Z,0,12.64,-31.76934325,2021-02-16 15:01:22Z,1.4437,0.5,-31.76934325,96.50805556,0,put,1.64,TRUE,ACB210219P00013500,-41.60125589,Process Industries,9be04ebf-5a92-4ee7-961f-2df86e3c3160,0,-,,2021-02-16 16:32:55Z,2021-02-16 15:16:41Z,11.56462585,90.95083333,ACB,-11,,0,Medicinal and Botanical Manufacturing
235.3733333,-39.05679513,,0,free,58706.81611,,,0,716,-89.01960784,90.3275,,0.722929688,2021-03-01 20:08:54Z,0,7.189542484,,,49,93.35027778,0.0092,-43.29963235,Walt Disney Co (The),1.22,98.828125,163.1022222,-0.0744,,2021-02-12 20:26:44Z,91.33916667,-89.01960784,-1.7771,165,0.41,1.33,0.143055556,2021-02-22 15:17:58Z,0,2021-02-12 20:35:19Z,???????,2021-02-16 15:47:05Z,0.1019,2021-03-12,1.171875,-0.1163,-12.12185769,91290,,,2021-02-16 14:46:23Z,0,187.76,-14.68572476,2021-02-16 17:47:45Z,1.275,0.14,-43.29963235,407.7027778,0,put,1.43,FALSE,DIS210312P00165000,-8.597285068,Consumer Services,1a474bd7-e6e2-425d-8cb9-76057148031c,0,-,,2021-02-22 15:49:08Z,2021-02-19 15:32:52Z,12.15686275,234.8538889,DIS,10,,0,
